 New_cases,Temperature ,Specific Humidity,Relative Humidity,Wind Speed(50)
5,15.9,6.94,54.38,3.97
0,18.33,6.87,53.02,4.55
0,16.57,7.53,54.43,5.44
1,16.86,8.05,57.8,5.8
1,15.88,10.71,66.35,5.11
0,13.43,10.98,65.3,5.67
0,17.82,8,54.15,4.2
0,15.23,10.45,64.08,4.13
0,11.43,10.92,68.23,4.44
0,12.73,9.31,65.28,5.62
0,15.86,7.53,55.96,6.57
0,16.03,9.14,62.27,5.47
0,15.1,10.05,60.97,4.88
0,15.17,10.03,59.04,4.3
0,16.11,8.2,46.83,3.61
0,15.74,7.81,42.77,2.96
0,15.7,7.41,41.38,2.85
0,19.13,7,40.18,5
0,18.8,6.35,36.4,5.06
0,20.19,5.23,29.04,4.17
0,19.92,5.45,28.62,4.07
0,20.04,6.69,32.06,4.76
0,14.77,7.31,33.33,1.91
0,16.84,6.91,32.64,2.91
0,17.9,6.91,32.57,4.49
0,16.87,5.73,29.47,4.73
0,17.11,4.95,29.14,5.9
0,18.33,4.73,26.31,4.21
0,18.99,4.99,25.98,3.83
0,18.93,5.59,27.67,5.68
0,18.22,6.55,30.37,5.24
0,15.79,7.96,33.15,2.63
2,14.33,7.21,31.04,2.76
0,18.14,5.47,26.2,5.66
22,17.03,6.36,31.8,5.66
1,16.19,5.83,30.23,4.5
3,16.46,6.98,36.37,6.63
3,17.7,6.42,34.06,4.92
5,19.65,5.57,26.5,4.5
5,13.19,8.1,34.4,5.97
6,14.07,9.41,37.68,5.11
10,14.37,7.65,35.84,6.25
14,18.23,7.1,35.42,5.1
7,16.1,5.87,28.68,5.24
3,18.1,2.83,14.7,5.05
23,19.37,3.27,17.1,5.46
7,18.53,4.35,19.28,4.7
23,16.23,7.9,31.75,4.61
14,11.91,10.5,40.29,3.45
40,16.48,7.42,29.76,4.55
0,17.25,5.37,23.35,4.51
88,17.99,6.26,27.95,4.02
58,16.28,6.62,27.48,3.04
93,15.37,6.53,24.84,2.16
85,17.38,6.94,25.35,3.1
87,16.17,9.3,33.23,3.72
43,10.29,13.29,58.56,3.86
75,14.72,12.7,49.13,4.17
0,13.63,12.78,51.11,2.6
255,13.69,11.79,42.24,2.08
92,10.68,13.4,51.16,2.83
180,16.09,12.47,46.68,4.62
385,19.03,8.68,34.44,4.39
329,18.44,8.66,33.62,4.22
336,18.95,8.74,31.21,3.78
601,17,9.99,33.96,4.33
472,17.4,8.3,28.04,3.78
693,16.91,7.19,24.12,3.87
354,18.76,5.71,20.47,5.71
853,17.64,5.76,21.29,6.62
591,17.84,6.22,22.33,4.52
547,18.2,5.35,17.8,2.86
1035,17.29,5.39,16.84,2.32
909,17.54,5.95,17.7,3
796,16.38,5.17,14.83,2.46
1211,16.44,5.34,14.65,1.6
1076,15.43,6.26,18.17,3.37
941,15.7,6.23,18.04,3.2
1007,16.75,6.99,20.07,5.42
991,16.3,7.3,20.59,4.71
1334,14.4,7.3,20.77,4.48
1553,15.73,7.25,20.86,5.14
1336,16.36,6.28,19.17,6.33
1383,15.36,7.09,21.18,4.87
1409,15.98,8.02,23.22,5.97
1684,15.83,8.1,23.4,6.4
1429,14.88,8.19,25.39,7.43
1990,16.96,7.83,24.85,4.57
1396,13.77,7.59,22.03,4.66
1543,16.4,6.9,20.18,3.77
1897,16.44,6.94,19.37,3.37
1718,14.92,5.89,15.31,2.08
1993,15.56,7.08,19.15,4.36
2293,15.66,7.99,21.39,7.46
2644,16.54,7.57,20.69,7.8
2553,18.17,8.19,22.78,6.56
3900,15.75,8.39,22.84,5.33
2958,15.54,6.87,17.94,4.94
3561,16.27,6.68,18.39,4.65
3390,17.54,6.78,18.94,4.97
3320,16.97,7.44,20.01,3.22
3277,15.5,8.82,23.53,3.31
4213,15.27,9.89,26.86,3.19
3604,13.13,9.31,23.66,2.7
3525,13.74,9.56,24.35,2.45
3722,13.96,11.02,28.14,2.69
3967,10.8,12.77,35.37,4.29
3970,14.21,11.82,31.46,4.77
4987,13.54,9.76,26.19,6.05
5242,12.06,7.52,20.85,8.11
4970,15.85,8,22.57,7.82
5611,16.35,7.98,21.73,8.71
5609,17.21,7.47,21.06,7.46
6088,16.39,8.54,23.4,8.87
6654,16.82,8.04,20.94,6.66
6767,16.76,7.15,18.07,7.05
6977,16.47,8.02,20.2,7.25
6535,16.42,7.97,20.03,8.02
6387,18.01,9.66,25.92,8.17
6566,17.21,11.17,30.82,8.78
7466,13.87,12.8,37.17,7.73
7964,13.5,13.36,39.21,6.32
8380,12.03,12.51,35.17,3.65
8392,10.12,11.93,35.5,4.46
8171,6.53,14.11,52.58,4.35
8909,4.03,16.95,76.91,5.48
9304,4.79,16.69,74.22,10.84
9851,12.49,15.8,62.12,5.28
9887,12.28,14.34,56.01,5.85
9971,10.43,16.33,63.96,6.13
9983,12,14.73,56.79,6.48
9987,13.6,13.9,52.04,5.75
9985,12.14,17.29,61.22,5.59
9996,9.13,18.43,67.99,5.76
10956,6.14,19.16,76.42,5.99
11458,5.78,19.03,80,3.11
11929,7.88,19.42,75.73,2.72
11502,7.95,19.68,74.94,3.01
10667,8.35,19.43,74.12,2.95
10974,9,18.34,69.63,4.84
12881,9.94,17.94,68.16,6.29
13586,7.4,18.77,75.66,5.91
14516,8.09,18.64,75.16,5.73
15413,6.57,18.41,76.31,6.42
14821,9.23,18.08,70.79,6.57
14933,9.7,17.12,65.84,4.02
15968,10.36,18.35,67.18,2.25
16922,9.33,19.47,69.26,3.2
17296,6.61,19.91,78.62,2.81
18552,8.4,18.84,76.84,2.31
19906,6.35,19.17,78.83,3.16
19459,4.61,19.25,82.81,3.2
18522,7.11,19.35,78.75,2.82
18653,8.65,18.97,74.07,4.27
19148,10.9,18.77,70.09,5.81
20903,5.82,19.82,80.51,4.29
22771,5.13,20.26,83.95,3.53
24850,4.7,19.54,86.33,6.35
24248,7.65,18.74,80.06,7.58
22252,8.33,18.97,78.32,7.33
22752,9.57,19.23,78.09,5.2
24879,8.97,19.06,77.89,5.17
26506,7.02,19.03,80.25,5.87
27114,8.13,18.67,77.29,5.75
28637,6.98,18.77,80.32,5.18
28701,6.95,18.06,78.21,4.84
28498,6.45,19.7,83.65,4.4
29429,5.02,20.61,88.27,4.71
32695,7.19,19.44,81.1,3.57
34956,8.87,18.32,78.1,4.55
34884,9.25,19.31,75.87,4.03
38902,5.11,19.46,82.9,4.73
40425,6.06,19.54,83.36,4.08
37148,6.57,18.49,79.48,3.24
37724,6.81,19.53,81.8,2.95
45720,4.5,19.42,88.73,4.3
49310,6.64,19.08,87.26,3.52
48916,5.93,18.62,85.42,2.82
48661,9.01,18.55,77.22,3.58
49931,6.81,19.32,81.58,3.96
47703,5.69,19.87,86.18,4.83
48513,5.63,19.61,84.7,3.25
52123,8.53,19.18,78.51,3.34
55078,7.22,20.29,80.41,1.51
57118,5.98,20.53,83.26,1.75
54735,5.3,20.73,86.55,2.43
52972,5.77,19.71,84.37,2.8
52050,7.18,19.44,82.47,4.84
52509,6.25,20.35,85.65,3.37
56282,6.04,19.34,84.01,4.96
62538,9.3,19.1,80.64,6.59
61537,7.86,19.13,82.18,6.96
64399,7.22,19.12,84.02,7.38
62064,5.53,19.24,86.81,6.65
53601,5.62,19.44,87.46,6.87
60963,5.98,19.24,87.81,8.21
66999,4.14,19.36,92.11,8.11
64553,4.88,19.57,91.78,8.47
65002,6.23,19.1,88.9,8
63490,5.74,18.85,89.08,7.78
57981,5.78,19.03,89.53,7.04
55079,5.83,18.77,90.03,6.52
64531,7.37,19.34,87.51,6.83
69652,4.97,19.6,91.84,6.51
68898,5.03,19.47,90.98,8.02
69878,5.51,19.44,92.09,7.55
69239,6.57,19.39,87.37,8.15
61408,7.88,19.03,85.28,7.46
60975,7.89,18.74,85.57,6.2
67151,7.27,18.78,86.43,4.95
75760,4.77,18.39,90.26,5.65
77266,5.02,18.49,91.23,6.04
76472,4.21,18.64,91.92,5.67
78761,6.61,18.39,87.29,6.68
78512,9.09,18.5,85.29,6.48
69921,8.07,17.92,82.21,3.55
78357,7.82,17.63,80.39,3.21
83883,9.26,17.06,74.44,2.85
83341,10.1,18.35,78.91,3.31
86432,6.8,19.3,82.37,2.99
90632,7.85,18.98,78.31,2.58
90802,7.32,19.62,85.4,3.94
75809,6.44,19.04,84.37,2.77
89706,6.74,19.55,85.19,2.39
95735,6.73,19.74,87.26,2.74
96551,5,19.46,88.59,1.46
97570,6.99,19.22,84.64,2.55
94372,5.99,19.75,87.17,2.67
92071,5.6,19.92,90.13,4.01
83809,6.28,20.08,87.94,3.81
90123,5.63,20.69,88.45,1.73
97894,6.36,20.75,87.77,3.64
96424,5.5,20.67,89.41,5.84
93337,4.68,20.26,91.27,5.3
92605,4.84,20.3,92.52,4.89
86961,5.8,20.07,87.04,3.05
75083,4.52,20.35,90.71,2.92
83347,6.77,20.05,88.12,3.21
86508,5.87,19.92,89.14,4.74
86052,5.42,19.63,88.4,4.05
85362,6.07,18.55,87.14,5.62
88600,7.64,17.31,86.06,4.63
82170,8.38,16.01,81.49,4.86
70589,8.74,16.99,84.31,4.96
80472,6,18.09,88.69,4.26
86821,7.4,17.75,86.95,5.39
81484,7.75,18.56,86.13,5.61
79476,7.73,18.58,85.31,4.79
75829,8.52,17.97,84.57,5.09
74442,8.33,17.86,84.79,4.98
61267,8.79,15.72,76.17,3.92
72049,9.55,14.69,73.12,3.18
78524,5.1,15.24,79.32,3.29
70496,5.88,16.73,86.01,2.83
73272,6.53,15.62,83.65,3.73
74383,7.07,17.47,90.34,4.6
66732,7.99,17.95,88.38,4.33
55342,6.12,18.68,90.21,2.92
63509,4.2,18.4,93.99,5.63
67708,5.27,19.35,90.6,6.9
63371,6.21,19.1,88.77,5.43
62212,5.59,19.18,89.28,3.39
61871,6.83,19.42,87.55,3.61
55722,7.89,18.41,80.96,1.95
46790,8.47,18.61,81.72,2.2
54044,7.13,19.1,84.79,2.45
55839,7.79,18.01,80.97,2.76
54366,7.98,17.01,79,1.95
53370,7.69,17.24,82.49,2.55
50129,7.52,15.17,85.35,2.31
45148,9.64,15.25,78.1,2.03
